Case,PostalCode,StartDate,EndDate,StartDateNum,EndDateNum,Lat,Lon,Accept,LatLong-Accept,Date-Accept,Query-Accept,Category,Expected_Unit_Result,Skip
1,TW6,1/1/2015,1/1/2015,20150101,20150101,51.47,0.4543,0,0,0,0,Dummy,Dummy,1
1,10036,1/1/2015,1/1/2015,20150101,20150101,40.767,-73.994,1,1,1,1,All,Succeed,0
2,76655,1/1/2015,1/1/2015,20150101,20150101,31.401145,-97.183101,1,1,1,1,All,Succeed,0
3,73064,1/1/2015,1/1/2015,20150101,20150101,35.368764,-97.746556,1,1,1,1,All,Succeed,0
4,11209,1/1/2015,1/1/2015,20150101,20150101,40.621982,-74.030324,1,1,1,1,All,Succeed,0
5,47401,1/1/2015,1/1/2015,20150101,20150101,39.102306,-86.442835,1,1,1,1,All,Succeed,0
6,60654,1/1/2015,1/1/2015,20150101,20150101,41.892289,-87.637271,1,1,1,1,All,Succeed,0
7,32821,1/1/2015,1/1/2015,20150101,20150101,28.381999,-81.479599,1,1,1,1,All,Succeed,0
8,10036,1/1/2012,1/2/2012,20120101,20120102,90,-73.994,1,1,1,1,LatLong,Succeed - Lat Pos Edge,0
9,10036,1/1/2012,1/2/2012,20120101,20120102,-90,-73.994,1,1,1,0,LatLong,Succeed - Long Neg Edge,0
10,10036,1/1/2012,1/2/2012,20120101,20120102,89.999,-73.994,1,1,1,0,LatLong,Succeed - Lat Pos Edge,0
11,10036,1/1/2012,1/2/2012,20120101,20120102,-89.999,-73.994,1,1,1,0,LatLong,Succeed - Long Pos Edge,0
12,10036,1/1/2013,1/2/2013,20130101,20130102,40.767,-179.999,1,1,1,0,LatLong,Succeed - Long Neg Edge,0
13,10036,1/1/2013,1/2/2013,20130101,20130102,40.767,-180,1,1,1,0,LatLong,Succeed - Long Neg Edge,0
14,10036,1/1/2013,1/2/2013,20130101,20130102,40.767,179.999,1,1,1,0,LatLong,Succeed - Long Pos Edge,0
15,10036,1/1/2013,1/2/2013,20130101,20130102,40.767,180,1,1,1,0,LatLong,Succeed - Long Pos Edge,0
16,10036,1/1/1931,1/2/1931,19310101,19310102,40.767,-73.994,1,1,1,0,Date,Earliest Date Edge - Succeed,0
17,10036,1/16/2017,1/17/2017,20170116,20170117,40.767,-73.994,1,1,1,0,Date,Late Date Edge - Succeed,0
18,10036,1/1/1931,1/2/1931,19310101,19310102,40.767,-73.994,1,1,1,0,Date,Earliest Date Edge - Succeed,0
19,10036,1/16/2017,1/17/2017,20170116,20170117,40.767,-73.994,1,1,1,0,Date,Late Date Edge - Succeed,0
20,10036,1/1/2012,1/2/2012,20120101,20120102,40.767,0,1,1,1,0,LatLong,Succeed - Lat Middle,0
21,10036,1/1/2012,1/2/2012,20120101,20120102,0,-73.994,1,1,1,0,LatLong,Succeed - Long Middle,0
22,10036,1/1/2012,1/2/2012,20120101,20120102,90.001,-73.994,0,0,1,0,LatLong,Fail - Lat Pos,0
23,10036,1/1/2012,1/2/2012,20120101,20120102,-90.001,-73.994,0,0,1,0,LatLong,Fail - Lat Neg,0
24,10036,1/1/2013,1/2/2013,20130101,20130102,40.767,-180.001,0,0,1,0,LatLong,Fail - Long Neg Edge,0
25,10036,1/1/2013,1/2/2013,20130101,20130102,40.767,180.001,0,0,1,0,LatLong,Fail - Long Pos Edge,0
26,10036,12/31/1930,1/1/1931,19301231,19310101,40.767,-73.994,0,1,0,0,Date,Earliest Date Edge - Fail,0
27,10036,1/17/2017,1/18/2017,20170117,20170118,40.767,-73.994,0,1,0,0,Date,Late Date Edge - Fail,0
28,10036,2015-02-29,3/1/2015,20150229,20150301,40.767,-73.994,0,1,0,0,Date,Not Valid Date,0
29,10036,12/31/2015,2015-12-32,20151231,20151232,40.767,-73.994,0,1,0,0,Date,Not Valid Date,0
30,10036,12/31/1930,1/1/1931,19301231,19310101,40.767,-73.994,0,1,0,0,Date,Earliest Date Edge - Fail,0
31,10036,1/17/2017,1/18/2017,20170117,20170118,40.767,-73.994,0,1,0,0,Date,Late Date Edge - Fail,0
32,10036,1/2/2015,1/1/2015,20150102,20150101,40.767,-73.994,0,1,0,0,Date,Fail - End before Begin,0
33,10036,1/2/2013,1/2/2015,20150102,20150101,40.767,-73.994,0,1,0,0,Date,Fail - End before Begin,0
